Qty,Value,Device,Package,Parts,Description,DIGIKEY,MOUSER,NEWARK,RICHARDSON_RFPD
1,FRACTUS-2.4GHZ-FR05-S1-N-0-102,FRACTUS-2.4GHZ-FR05-S1-N-0-102,FRACTUS-ANTENNA-FR05-S1-N-0-102,A1,"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,",,,,FR05-S1-N-0102B
1,BAL-NRF01D3,BAL-NRF01D3,BAL-NRF01D3,B1,"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,",497-13637-1-ND,511-BAL-NRF01D3,,
1,0.8pF,CAPACITOR,0402_CAP,C1,0402 Capacitor,490-6269-1-ND,,,
2,12pF,CAPACITOR,0402_CAP,"C2, C3",0402 Capacitor,490-6197-1-ND,,,
2,1nF,CAPACITOR,0402_CAP,"C4, C5",0402 Capacitor,490-1303-1-ND,,,
1,2.2nF,CAPACITOR,0402_CAP,C6,0402 Capacitor,490-5419-1-ND,,,
1,47nF,CAPACITOR,0402_CAP,C7,0402 Capacitor,445-1264-1-ND,,,
3,0.1uF,CAPACITOR,0402_CAP,"C8, C9, C10",0402 Capacitor,445-4952-1-ND,,,
1,1uF,CAPACITOR,0402_CAP,C11,0402 Capacitor,1276-1513-1-ND,,,
1,4.7uF,CAPACITOR,0402_CAP,C12,0402 Capacitor,445-5947-1-ND,,,
2,BICOLOR-THRUHOLE,BICOLOR-THRUHOLE,3AXIS-0.1IN,"D1, D2",3 axis thru-hold LED,,,,
1,BLUE,LED0603,LED-0603,D3,LEDs,,,,
1,15nH,INDUCTOR0402,0402_CAP,L1,,587-1521-1-ND,,,
1,10uH,INDUCTOR0603,0603_CAP,L2,,490-4025-1-ND,,,
4,MOSFET-NCHANNELXFDN-3,MOSFET-NCHANNELXFDN-3,XFDFN-3,"Q1, Q2, Q3, Q4",Generic NMOS footprint,DMN2400UFB4-7DICT-ND,,,
4,470,RESISTOR,0402_RES,"R1, R2, R3, R4",Resistor,RHM470CDCT-ND,,,
2,1k,RESISTOR,0402_RES,"R5, R6",Resistor,RHM1.0KCECT-ND,,,
1,12k,RESISTOR,0402_RES,R7,Resistor,RHM12.0KCDCT-ND,,,
1,TL3315NF100Q,TL3315NF100Q,TL3315NF100Q,S1,SWITCH TACTILE SPST-NO 0.05A 15V,EG4620CT-ND,,,
1,NRF51822QF,NRF51822QF,QFN-48-6MM,U1,Multiprotocol Bluetooth® 4.0 low energy/2.4 GHz RF SoC,1490-1042-1-ND,949-NRF51822-QFAC-R7,,
1,ADXL362,ADXL362,TFLGA-16/3.3MMX3.1MM,U2,IC ACCEL DIG LO PWR 3AX 16LGA,ADXL362BCCZ-RL7CT-ND,584-ADXL362BCCZ-R7,47W0478,
1,16MHz,TXC-8Y,TXC-8Y,X1,2mmx1.6mm SMD Crystal,887-2003-1-ND,,,
